pmid,title,abstract
41604898,Sinomenine inhibits oxidative stress to attenuate Alzheimer's disease pathology via α7 nicotinic acetylcholine receptor.,"The pathological mechanism of Alzheimer's disease (AD) is complex. The binding of Aβ to α7 nicotinic acetylcholine receptor (α7nAChR) contributes to neuronal damage. Sinomenine (SIN) is an alkaloid extracted from the traditional Chinese medicine Qingfengteng (Sinomenium acutum). The anti-inflammatory, antioxidant, and immunomodulatory effects of SIN were confirmed to be closely associated with the α7nAChR. This study aimed to investigate whether α7nAChR serves as a pharmacological target of SIN against AD, and to evaluate the neuroprotective effects of SIN both in vivo and in vitro, focusing on the α7nAChR/Nrf2/Keap1 signaling pathway. In this study, the effects of SIN in both APP/PS1 transgenic mice and SH-SY5Y cells subjected to Aβ1-42-induced injury were assessed. The selective antagonist α-bungarotoxin ‌(α-BTX), the agonist nicotine (Nic) of α7nAChR, and α7nAChR siRNA were employed. The cognitive function, Aβ deposition, synaptic plasticity markers, the tau protein phosphorylation, mitochondrial membrane potential, oxidative stress and the α7nAChR/Nrf2/Keap1 signaling pathway were analyzed in vivo and/or in vitro. SIN significantly enhanced learning and memory abilities in APP/PS1 mice, reduced Aβ plaque deposition and synaptic dysfunction, and inhibited hyperphosphorylation of tau protein and oxidative stress in the brain. In Aβ1-42-induced neuronal injury model, SIN alleviated apoptosis, increased BDNF and ACh levels, inhibited mitochondrial damage, stabilized calcium homeostasis, and suppressed oxidative stress. Meanwhile, SIN disrupted Nrf2-Keap1 binding to promote the Nrf2/HO-1 signaling pathway. Nevertheless, SIN effects above were inhibited by α-BTX. The knockdown of α7nAChR in vitro significantly promoted Nrf2/HO-1 pathway and BDNF expression. SIN exerts neuroprotective effect in APP/PS1 transgenic mice and Aβ1-42-induced neuronal injury by inhibiting oxidative stress via α7nAChR/Nrf2/Keap1 pathway. This study provides evidence for α7nAChR as a new target and the clinical application potential of SIN in AD treatment."
41595681,Network Analysis to Identify MicroRNAs Involved in Alzheimer's Disease and to Improve Drug Prioritization.,"<b>Background</b>: Advances in the understanding of molecular mechanisms of human diseases, along with the generation of large amounts of molecular datasets, have highlighted the variability between patients and the need to tailor therapies to individual characteristics. In particular, RNA-based therapies hold strong promise for new drug development, as they can be easily designed to target specific molecules. Gene and protein functions, however, operate within a highly interconnected network, and inhibiting a single function or repressing a single gene may lead to unexpected secondary effects. In this study, we focused on genes associated with Alzheimer's disease, a progressive neurodegenerative disorder characterized by complex pathological processes leading to cognitive decline and dementia. Its hallmark features include the accumulation of extracellular amyloid-β plaques and intracellular neurofibrillary tangles composed of hyperphosphorylated tau. <b>Methods</b>: We built a protein interaction network subgraph seeded on five Alzheimer's-associated genes, including tau and amyloid-β precursor, and integrated it with microRNAs in order to select regulated nodes, study the effects of their depletion on signaling pathways, and prioritize targets for microRNA-based therapeutic approaches. <b>Results</b>: We identified nine protein nodes as potential candidates (Pik3R1, Bace1, Traf6, Gsk3b, Akt1, Cdk2, Adam10, Mapk3 and Apoe) and performed in silico node depletion to simulate the effects of microRNA regulation. <b>Conclusions</b>: Despite intrinsic limitations of the approach, such as the incompleteness of the available information or possible false associations, the present work shows clear potential for drug design and target prioritization and underscores the need for reliable and comprehensive maps of interactions and pathways."
41577863,Exploring Green-Synthesized Silver Nanoparticles in Neurodegeneration: a Systematic Review of Cholinesterase Enzyme Interactions.,"Neurodegenerative disorders, particularly Alzheimer's disease (AD), Parkinson's disease (PD), and Huntington's disease (HD), represent a significant and growing global health concern in recent decades due to their complex pathology and lack of curative treatments. The fundamental cause of the evolution of these disorders is the dysfunction of cholinergic neurotransmission; those are mostly regulated by cholinesterase enzymes such as acetylcholinesterase (AChE) and butyrylcholinesterase (BChE). Conventional synthetic cholinesterase inhibitors like donepezil, rivastigmine, and galantamine are proposed for symptomatic relief but are often associated with adverse effects, limited bioavailability, and decreased long-term efficacy. Here, green-synthesized silver nanoparticles (AgNPs), which are derived from plant extracts and other biological systems, give an extraordinary alternative. These nanoparticles offer a biocompatible, eco-friendly, and cost-effective alternative to conventional synthetic methods. Greener AgNPs inhibit them by binding to the enzymes AChE and BChE and prevents them from breaking down neurotransmitters ACh and BCh. As a result, the count of neurotransmitters remains high in the synapse and can provide an effective synaptic transmission. Green-synthesized AgNPs can provide targeted drug delivery, enhance solubility, enhance bioavailability, improve absorption, and also be able to overcome the blood-brain barrier (BBB); all these characteristics give better therapeutic action than all conventional methods. This study evaluates the efficacy of green-synthesized silver nanoparticles in combination with several medicinal plants for treating neurodegenerative diseases, encouraging further research to upgrade these formulations for improved patient outcomes and increased clinical applicability."
41605956,SMILES-based QSAR analysis of carbamate derivatives targeting butyrylcholinesterase.,"Butyrylcholinesterase (BuChE) is a key enzyme implicated in the pathogenesis of Alzheimer's disease (AD), and its inhibition represents a promising therapeutic strategy for disease management. Among various inhibitor classes, carbamate derivatives have attracted significant attention due to their pseudo-irreversible inhibition mechanism and favorable pharmacological profiles, making them valuable scaffolds in anti-Alzheimer drug discovery. In this study, a dataset of 205 carbamate derivatives was carefully compiled from reliable peer-reviewed literature, and QSAR modeling was performed for the first time on this dataset. Quantitative structure-activity relationship (QSAR) models were constructed to predict the BuChE inhibitory activity (pIC50) employing Monte Carlo optimization within the CORAL-2023 software framework. Hybrid optimal descriptors derived from SMILES notation and hydrogen-suppressed molecular graphs were utilized. Sixty models were developed across four random splits using four distinct target functions (TF0-TF3), among which the TF3-based models exhibited superior statistical performance (validation R<sup>2</sup> ranging from 0.80 to 0.86, Q<sup>2</sup> between 0.78 and 0.84, and RMSE values from 0.45 to 0.54). The mechanistic interpretation of the model showed that the increasing SMILES-based descriptors correspond to key pharmacophoric regions of the BuChE active site, including the PAS, acyl pocket, and catalytic triad. These correlations confirm that aromatic, hydrophobic, and branched fragments enhance inhibitory activity through π-π interactions, hydrophobic anchoring, and optimal orientation toward Ser198."
41604441,Spatial variation in socio-economic vulnerability to Influenza-like Infection for the US population.,"This study aims to quantify environmental health impacts and assess risk by understanding the disproportionate burden of infectious diseases, specifically Influenza-like Illness (ILI), across regions with varying socio-economic characteristics. We introduce a novel vulnerability-based approach to better understand the complex relationship between socio-economic factors and ILI burden. We developed a machine-learning-driven framework to assess and map state-level socio-economic vulnerability to ILI in the United States. A vulnerability index was created by integrating 39 diverse socio-economic and health indicators from the latest CENSUS. A Random Forest Regression model then weighed these indicators to quantify each state's vulnerability for the ILI values in 2022. To assess multicollinearity, Variance Inflation Factor (VIF) was calculated, and parameters were filtered to reduce the VIF. Key determinants of vulnerability include migration patterns, insurance coverage, and proportions of female and elderly populations. The resulting state-level vulnerability map reveals significant regional disparities. District of Columbia was identified as the most vulnerable state, followed by Massachusetts, Hawaii, New Mexico, and Rhode Island, all with normalized vulnerability indices exceeding 0.35. Our findings highlight significant regional variations in ILI vulnerability, emphasizing the need for targeted public health interventions tailored to state-specific socio-economic conditions. This scalable and adaptable methodology extends beyond influenza, offering a valuable approach for assessing vulnerability to a wide range of infectious diseases, strengthening epidemic preparedness and response."
41599177,"Extracellular Vesicles in Alzheimer's Disease: Dual Roles in Pathogenesis, Promising Avenues for Diagnosis and Therapy.","Alzheimer's disease (AD) is a progressive neurodegenerative disorder characterized by the accumulation of amyloid-β (Aβ) plaques, neurofibrillary tau tangles, chronic neuroinflammation, and synaptic loss, leading to cognitive decline. Extracellular vesicles (EVs)-lipid bilayer nanoparticles secreted by nearly all cell types-have emerged as critical mediators of intercellular communication, playing a complex dual role in both the pathogenesis and potential treatment of AD. This review generally delineates two opposite roles of EVs in pathogenesis and potential treatment of AD. On one hand, EVs derived from neurons, astrocytes, microglia and oligodendrocytes can propagate toxic proteins (Aβ, tau) and inflammatory signals, thereby accelerating disease progression. On the other hand, EVs-especially those from mesenchymal stem cells (MSCs)-exert neuroprotective effects by facilitating toxic protein clearance, modulating immune responses, preserving synaptic integrity, and alleviating oxidative stress. The cargo-carrying function of EVs gives them considerable diagnostic value. The associated cargos such as proteins and microRNAs (miRNAs) in the EVs may serve as minimally invasive biomarkers for early detection and monitoring of AD. Therapeutically, engineered EVs, including those incorporating CRISPR/Cas9-based genetic modification, are being developed as sophisticated delivery platforms for targeting core AD pathologies. Furthermore, this review highlights emerging technologies such as microfluidic chips and focused ultrasound (FUS), discussing their potential to enhance the translational prospects of EV-based early diagnostic and treatment for AD."
41572752,The Interplay between PKC and ELAV4 in the CNS: An Emerging Therapeutic Axis for Dementia Management.,"Alzheimer's disease (AD) is the most prevalent cause of dementia, accounting for 60-80% of all cases and characterized by amyloid beta (Aβ) plaques and tau protein hyperphosphorylation. Among the signaling mechanisms implicated in AD, protein kinase C (PKC) isoforms and neuron-specific embryonic lethal abnormal vision-4 (ELAV4) have gained increasing attention due to their roles in synaptic plasticity, neuroinflammation, and mRNA stability. This review discusses the potential for targeting the PKC-ELAV4 axis to manage dementia. PKC isoforms, including PKC α, δ, and ε, are involved in amyloid-beta (Aβ) processing, tau phosphorylation, and regulation of mitochondrial activities, whereas ELAV4 stabilizes mRNAs that participate in both the degradation of Aβ (e.g., neprilysin) and the synthesis of Aβ (e.g., beta-site amyloid precursor protein cleaving enzyme 1, BACE1). We reviewed 75 papers published over the last 15 years using search terms such as neuroinflammation, synaptic plasticity, mRNA stability in dementia, ELAV, ELAV4, PKC, and PKC isoforms in databases including PubMed, WOS, and Google Scholar. Results were summarized, compared, and research gaps were identified during data collection and interpretation. ELAV4 can influence the processing of amyloid precursor protein (APP), the precursor of the amyloid-beta peptide, a hallmark of AD. Decreased expression of ELAV4 in the hippocampus is associated with dementia. PKC-δ activates c-Jun N-terminal kinase (JNK) expression, releases Beclin-1 from the Bcl2/Beclin-1 complex, and promotes autophagy. Oxidative stress and PKC η regulate the mitogenactivated protein kinase (MAPK) pathway, leading to tau phosphorylation and neuronal death. PKCε activators and ELAV4 inhibitors have positive effects on cognitive function and dementia management by inhibiting neuroinflammation and neuronal apoptosis, while PKC α, β, δ inhibitors may aid in managing different forms of dementia. This review highlights research gaps and proposes future directions for targeting the PKC-ELAV4 axis as a novel strategy in dementia management."
41604235,"Neuroimmune Cross-Talk and Multilevel Cascades in Fentanyl Toxicity: Interplay of Hypoxic Stress, Glial Activation, and Synaptic Dysregulation in Systems-Level Neurodegeneration.","Fentanyl, an ultra-potent synthetic opioid, has traditionally been characterized by its acute toxic effects, particularly respiratory depression. However, accumulating research indicates that its neurobiological influence extends far beyond its short pharmacological window, intersecting with several core mechanisms implicated in major neurodegenerative disorders. This review integrates multiscale evidence to propose a unified conceptual framework in which fentanyl may function not only as an acute neurotoxin but also as a putative accelerator of long-term neurodegenerative vulnerability. Drawing from molecular signaling, cellular stress pathways, glial-neuronal cross-talk, neurovascular regulation, synaptic architecture, and large-scale neural networks, we highlight fentanyl's capacity to trigger a convergent cascade encompassing hypoxic-metabolic reprogramming, mitochondrial fragmentation, TLR4-NF-κB-driven inflammation, NLRP3 inflammasome activation, complement-mediated synaptic pruning, astrocytic EAAT2 downregulation, and blood-brain barrier compromise. These alterations propagate through recursive cross-talk loops that progressively diminish neuronal resilience, destabilize oscillatory coherence, and weaken circuit-level adaptability. Importantly, mechanistic overlaps with Alzheimer's disease, Parkinson's disease, amyotrophic lateral sclerosis, and multiple sclerosis suggest that fentanyl exposure may be mechanistically associated with processes capable of accelerating disease onset, exacerbating progression, or unmasking latent vulnerabilities, particularly in genetically or metabolically predisposed individuals. By reframing fentanyl as a systems-level destabilizer capable of imprinting persistent neurobiological changes, this model underscores the need for comprehensive biomarker development, longitudinal risk assessment, and targeted neuroprotective interventions. The integrative framework presented herein offers a foundation for predicting the long-term neurological consequences of fentanyl exposure and calls for urgent reconsideration of its role in population-level neurodegenerative risk."
41604588,Griess's Reagent-Based Azo Compounds Ameliorate Multifaceted Toxicity and Ferroptosis in Alzheimer's Disease.,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder and a growing public health concern globally due to the lack of effective treatments. The primary pathological characteristics of AD include the accumulation of amyloid-β (Aβ) as extracellular senile plaques and intracellular neurofibrillary tangles (NFTs) of hyperphosphorylated tau. Additionally, oxidative stress and neuroinflammation are implicated in the disease's pathogenesis. Developing therapeutic approaches to target multiple pathways or disease routes to address the complex pathological processes driven by Aβ remains challenging. In this context, multifunctional small molecules present a promising therapeutic strategy to address the multiple etiologies of AD. In this study, we designed and synthesized a series of multifunctional azo compounds (ACs) based on Griess's reagent. These compounds modulate amyloid aggregation, suppress oxidative stress, mitigate mitochondrial damage, and provide neuroprotection against Aβ-induced toxicity. Among the ACs, <b>AC5</b> effectively prevents Aβ-induced ROS generation, as indicated by Nrf2 translocation, and exhibits anti-inflammatory activity by targeting inflammatory mediators, suppressing induced nitric oxide synthase (iNOS) expression, and reducing nitric oxide (NO) generation. Furthermore, <b>AC5</b> effectively combats ferroptosis via modulating lipid peroxidation and restores the master regulator Gpx4 activity. Our findings suggest that <b>AC5</b> is a promising therapeutic candidate for addressing the multifaceted pathogenesis of AD."
41609011,"Novel Variants Identified in Families With SNX27-Related Neurodevelopmental Disorder, Aiding in Characterizing Its Genotypic and Phenotypic Spectrum.","Sorting Nexin 27 (SNX27), a key regulator of synaptic receptor trafficking and endosomal recycling, has been implicated in maintaining synaptic homeostasis and cognitive function. To date, variants in SNX27 have been reported in a small number of patients across three publications with severe neurodevelopmental phenotypes. However, the genetic and functional landscape of SNX27-related disorders remains poorly understood, and further evidence is needed to confirm its association with disease and to better delineate the associated phenotype. Two unrelated Pakistani families with a total of five affected individuals segregating a neurodevelopmental disorder were investigated via exome or genome sequencing. This revealed a novel homozygous frameshift variant in family I [NM_001330723.2: c.75dup; p. (Ser26Valfs*85)], predicted to be targeted by nonsense-mediated decay. In family II, a novel homozygous missense variant [NM_001330723.2: c.929 T>C; p. (Met310Thr)] was found within the FERM-like region of the SNX27 protein, which is critical for retromer complex interaction. Comparison of five cases described in this study with previously reported six cases reinforces the presence of consistent ""core"" clinical features-global developmental delay, intellectual disability, speech delay, behavioral abnormalities, seizures, and motor dysfunction in all assessed cases. Other features such as dental anomalies, failure to thrive, and dysmorphisms occurred variably in few. Affected individuals with predicted loss-of-function variants typically presented with a more severe phenotype. Thus, core features of SNX27-related neurodevelopmental disorders (NDDs) are intellectual disability, developmental, and speech delays. This study, alongside prior reports, augments the genetic and phenotypic spectrum of SNX27-associated NDDs. The novel frameshift variant p.(Ser26Valfs*85) is predicted to severely disrupt SNX27 function, causing profound neurodevelopmental impairment, whereas the missense p.(Met310Thr) in the FERM-like region is associated with a milder phenotype. Comparative analyses with previous reports reveal a spectrum from early lethality to long-term survival with intellectual disability in SNX27-linked families. These findings underscore the importance of SNX27 in neurodevelopment and further validate its link to a neurodevelopmental disorder."
41608471,The role of the endocannabinoid system in managing neuropsychiatric symptoms in Alzheimer's disease.,"The endocannabinoid system comprises cannabinoid receptors (CBRs) 1 & 2, endocannabinoids (eCBs) anandamide (AEA) and 2-arachidonoylglycerol (2-AG), and the enzymes that regulate their production and degradation. ECS plays a significant role in both health and disease. It influences neuronal and glial communications, neurotransmitter regulations, neuroinflammation, and behavioral alterations. Neuropsychiatric symptoms (NPS) are commonly seen in neurodegenerative conditions like Alzheimer's disease (AD), apart from the core clinical diagnosis of dementia. NPS consists of various disturbing symptoms, including anxiety, agitation, apathy, hallucinations, delusions, sleeping problems, appetite problems, and depression. In AD, up to 97% exhibit one or more NPS. Emerging evidence from preclinical and clinical studies suggests that ECS is both a contributor to and a potential therapeutic target for managing NPS. This review explores ECS's role in NPS and its therapeutic implications."
41605352,Associations of mental and behavioral disorders due to tobacco and alcohol use with incident dementia.,"While smoking and drinking are known to influence cognitive function, the future risk of incident dementia among individuals diagnosed with mental and behavioral disorders due to tobacco use (MBT) and mental and behavioral disorders due to alcohol use (MBA) remains unclear. Data were sourced from the UK Biobank, a publicly accessible database in the United Kingdom. The analysis included 362,934 participants free of dementia at baseline. MBT and MBA were identified using ICD-10 codes from first occurrence data in the UK Biobank dataset. Dementia outcomes, defined algorithmically by the UK Biobank, included all-cause dementia, Alzheimer's disease, and vascular dementia. Cox regression models assessed the associations of MBT and MBA with incident dementia. Among only smoking participants, those with MBT had an adjusted hazard ratio (HR) of 1.47 (95% confidence interval [CI]: 1.10-1.96) for all-cause dementia, compared with non-MBT participants. Among only drinking participants, those with MBA had an adjusted HR of 2.34 (95% CI: 2.05-2.68) for all-cause dementia, compared with non-MBA participants. Among both smoking and drinking participants, those with both MBT and MBA (HR = 3.86, 95% CI: 2.78-5.35), those with only MBT (HR = 1.31, 95% CI: 1.02-1.67), and those with only MBA (HR = 2.46, 1.39-4.35) had a significantly higher risk of incident dementia, compared with non-MBT and non-MBA participants. Individuals diagnosed with MBT, MBA, or both are associated with a higher likelihood of incident dementia. These findings underscore the need for interventions targeting these behaviors to mitigate the dementia incidence."
41603334,Towards the development of a management protocol for subjective cognitive decline: Insights from a cross-sectional and longitudinal analysis of multimodal data from a memory clinic.,"BackgroundSubjective cognitive decline (SCD) represents the first early symptomatic stage of Alzheimer's disease (AD).ObjectiveWe aimed to investigate the relationships between features in SCD and to assess the importance of these features in the future development of dementia to inform a targeted management protocol.Methods440 SCD patients underwent neurological and neuropsychological assessments, MRI scans, <i>APOE</i> genotyping, and AD biomarker evaluations. Patients were followed for a median of 10 years. Relationships among features were first assessed univariately, focusing on differences across stratified subgroups. To capture multivariate associations, we applied network analysis using a Markov Random Field. Finally, baseline features were related to dementia progression using an XGboost machine learning model.ResultsWomen comprising 68.9% of the cohort, were generally younger at onset, had lower <i>APOE</i> ε4 prevalence, and differed in neuropsychological performance compared to men. Older patients (age >60) exhibited a higher prevalence of <i>APOE</i> ε4 and cerebral small vessel disease. Patients with depressive symptoms demonstrated lower cognitive performance across multiple domains. Network analysis indicated complex interconnections among gender, cognitive reserve, SCD severity, and depressive symptoms. The XGboost model achieved 74% accuracy in predicting progression to dementia, identifying age at onset, mini-mental state examination scores, and <i>APOE</i> genotype as the most predictive factors.ConclusionsThis study highlights the role of age, gender, <i>APOE</i> genotype, and depressive symptoms in the presentation and progression of cognitive decline. By identifying key predictive features, we propose a personalized management protocol aimed at optimizing care for individuals with SCD.<b>Trial registration number:</b> NCT05569083, registration date: 2019-05-30."
41597376,ExoBDNF Probiotic Supplementation Enhances Cognition in Subjective Cognitive Decline.,"<i>Background and Objectives</i>: Interventions targeting the gut-brain axis offer potential for mitigating Subjective Cognitive Decline (SCD), a critical window for Alzheimer's prevention. This study evaluated the effects of a novel probiotic supplement, ExoBDNF, on cognitive function, sleep, and emotional distress in adults with SCD. <i>Materials and Methods</i>: In this 9-week open-label study, participants received ExoBDNF supplementation. Efficacy was assessed using the SCD-Questionnaire (SCD-Q), DASS-21, PSQI, MoCA, and a computerized cognitive battery measuring inhibition (Go/No-Go), flexibility (Task Switching), and working memory. <i>Results</i>: Post-intervention analyses revealed significant improvements in subjective cognition (SCD-Q, <i>p</i> < 0.001), sleep quality (PSQI, <i>p</i> < 0.001), and emotional distress (DASS-21, <i>p</i> < 0.001). Objective cognitive performance also improved, with significant gains in MoCA scores (<i>p</i> = 0.047) and executive function metrics. Spearman correlation analysis indicated a significant link between cognitive and emotional changes: longitudinal reductions in SCD scores correlated with concurrent reductions in emotional distress (rho = 0.471, <i>p</i> = 0.009). Furthermore, higher baseline SCD scores predicted greater improvement in emotional outcomes (rho = -0.540, <i>p</i> = 0.002). <i>Conclusions</i>: ExoBDNF supplementation significantly enhanced cognitive performance, sleep quality, and emotional well-being. The findings demonstrate that improvements in subjective cognition are closely tied to alleviated emotional distress, supporting the gut-brain axis as a viable therapeutic target for early-stage cognitive decline."
41596530,FDA-Approved Passive Immunization Treatments Against Aβ in Alzheimer's Disease: Where Are We Now?,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder marked by decreased amyloid-beta (Aβ) clearance, enhanced Aβ aggregation, an increased risk of amyloid-related imaging abnormalities (ARIA), and blood-brain barrier (BBB) dysfunction. The <i>APOE4</i> allele, being the leading genetic risk factor for AD, contributes strongly to these symptoms. This review covers the relationship between <i>APOE4</i> status and the efficacy of FDA-approved monoclonal antibody (mAb) therapies, namely aducanumab, lecanemab, and donanemab. Across several clinical trials, <i>APOE4</i> carriers exhibited higher rates of ARIA-E and ARIA-H compared to non-carriers. While the therapies did often meet biomarker endpoints (i.e., reduced amyloid), benefits were only observed in early and mild AD, and cognitive benefits were often marginal. Going forward, experimental apoE4-targeted immunotherapies may ease the burden of <i>APOE4</i>-related pathology. The field is shifting towards a more integrated approach, focusing on earlier interventions, biomarker-driven precision treatment, and improved drug delivery systems, such as subcutaneous injections, receptor-mediated transport, and antibodies with enhanced BBB penetration. As it stands, high treatment costs, limited accessibility, and strict eligibility criteria all stand as barriers to treatment. By integrating the <i>APOE4</i> genotype into treatment planning and focusing on disease-stage-specific approaches, a safer and more effective means of treating AD could be achieved."
41596136,Natural Vitamins and Novel Synthetic Antioxidants Targeting Mitochondria in Cognitive Health: A Scoping Review of In Vivo Evidence.,"Mitochondrial dysfunction and oxidative stress are crucial contributors to the pathogenesis of Alzheimer's disease (AD) and dementia exhibiting cognitive decline at the early stage of neurodegeneration. Natural vitamin antioxidants (NVAs) and novel mitochondria-targeted antioxidants (MTAs) are proposed as potential therapeutics though conclusive evidence is lacking. Objectives were to examine in vivo evidence on NVAs and MTAs for preventing and/or treating cognitive decline leading to dementia, to identify the most promising antioxidants, and highlight translational gaps. Methods followed PRISMA-ScR guidelines. MEDLINE, EMBASE and Scopus were searched for English language in vivo experiments assessing NVAs or MTAs in AD and dementia. A total of 25 studies (13 NVAs; 12 MTAs) met inclusion criteria. NVAs (Vitamin A, B, C, E) demonstrated mixed efficacy in reducing oxidative stress and improving cognitive outcomes, with Vitamin E showing the most consistent neuroprotective effects. MTAs (MitoQ, MitoTEMPO, SS31, SkQ1) improved mitochondrial dynamics and cognitive performance and reduced dementia-related pathology. Both NVAs and MTAs improved biomarker profiles and cognitive outcomes in vivo animal models of AD and dementia, but MTAs showed more robust and consistent efficacy by directly targeting mitochondrial pathways. Given the favourable safety profiles of MTAs in other clinical conditions, early-phase human trials in dementia and AD are warranted to evaluate their long-term cognitive benefits."
41589495,Enzymatic Biomarkers for Early Diagnosis of Alzheimer's Disease: Uncovering Key Targets and Mechanisms.,"Alzheimer's Disease (AD) is a neuronal illness that disrupts behavior, cognitive, and functional abilities. The development of AD is progressive, continuous, and irreversible, from preclinical illness to mild cognitive or even behavioral disturbance to dementia (a medical brain condition) triggered by AD. Worldwide accepted hypotheses of AD are called the amyloid-cascade and hyperphosphorylated tau-cascade hypotheses, and enzymes are implicated in the pathophysiology of AD directly or indirectly. There is an implication of enzymes in the pathophysiology of AD. Enzymes include proteases (e.g., neprilysin), kinases (e.g., glycogen synthase kinase-3), cholinergic enzymes (e.g., acetylcholinesterase), metalloproteinases (e.g., matrix metalloproteinases), and oxidative stress-related enzymes (e.g., superoxide dismutase). However, during abnormal or early Alzheimer's Disease (AD) conditions, the activity and expression of these enzymes are altered in biological samples such as blood, urine, and cerebrospinal fluid (CSF) in patients with early AD when examined. These alterations in enzyme activity in early AD demonstrate the potential of these enzymes as biomarkers. Early detection of AD in its early stages is crucial for effective control and treatment of the disease. Existing diagnostic techniques rely mainly on neuroimaging and medical evaluation. Through this technique, we can only diagnose the advanced or late stage of AD. Therefore, there is a crucial need to establish valid biomarkers that might assist in the early detection of AD. Enzymatic targets have come to light as a promising alternative for the development of selective and sensitive diagnostic assays. This review aims to investigate the potential of enzymes as an enzymatic target for early AD diagnosis, emphasizing their diagnostic use and fundamental mechanisms. Here, we summarize the role or implication of 25 enzymes in the pathophysiology of AD in the early stage."
41605321,Inclisiran Attenuates Alzheimer's Disease-like Changes by Suppressing Microvascular Endothelial Ferroptosis to Preserve Blood-Brain Barrier Integrity.,"The integrity of blood-brain barrier (BBB) plays a pivotal role in the pathogenesis of Alzheimer's disease (AD) by regulating Aβ clearance and neurotoxic compound exclusion. Hyperlipidemia exacerbates AD by impairing the BBB function. Inclisiran, a PCSK9-targeting siRNA, reduces cholesterol levels; however, its neuroprotective effects remain unclear. Here, we report the novel discovery that Inclisiran attenuates AD-like changes through the PCSK9-ferroptosis axis in brain microvascular endothelial cells (BMECs). First, integrated bioinformatics analysis and experimental validation of cortical tissues from patients with AD and healthy controls revealed a coordinated upregulation of PCSK9 and β-amyloid (Aβ), accompanied by increased iron deposition and significant activation of the ferroptosis pathway. Interestingly, these changes are located in the BMECs of the blood-brain barrier rather than in the brain parenchyma. Second, in hyperlipidemic ApoE-/- mouse models, integrated application of cerebral microvessel isolation, molecular biology techniques, immunofluorescence co-localization analysis, and behavioral tests demonstrated that Inclisiran significantly reduced AD-like changes by attenuating BBB dysfunction based on the suppression of PCSK9-mediated ferroptosis in BMECs. Third, in vitro studies employing the HCMEC/D3 BBB model with integrated assessments of lipid peroxidation, mitochondrial function, and transwell-based barrier integrity demonstrated that Inclisiran significantly reduced ferroptosis and restored BBB integrity via PCSK9 suppression. Our findings not only establish a novel PCSK9-ferroptosis-BBB regulatory axis in AD pathogenesis but also posit the clinically approved lipid-lowering drug, Inclisiran, as a promising therapeutic candidate for AD, providing new targets and mechanisms for the prevention and treatment of AD."
41595750,Beyond Amyloid: Targeting Co-Aggregating Proteins and Targeted Degradation Strategies in Alzheimer's Disease.,"Alzheimer's disease (AD) involves a constellation of molecular processes that extend well beyond amyloid-β (Aβ) accumulation. Recent anti-amyloid antibodies provide limited clinical benefits, highlighting the need for additional strategies due to their modest efficacy and safety concerns. Increasing proteomic evidence reveals that proteins such as midkine (MDK), pleiotrophin (PTN) and clusterin (CLU) accumulate within amyloid plaques and may shape disease progression, although their precise contributions-protective, pathogenic, or both-remain unknown. In this Perspective, we examine how emerging targeted protein degradation (TPD) technologies, including Proteolysis-Targeting Chimeras (PROTACs), Lysosome-Targeting Chimeras (LYTACs) and molecular glues (MGs), could provide a means to selectively eliminate these co-aggregating proteins. We also discuss advances in degrader design, artificial intelligence (AI)-assisted screening, and strategies aimed at enhancing Central Nervous System (CNS) delivery. We finally outline how integrating TPD modalities with antibody-based and multi-target therapeutic approaches may promote more effective, systems-level interventions for AD."
41608987,Multi-platform integration of brain and CSF proteomes reveals biomarker panels for Alzheimer's disease.,"Alzheimer's disease (AD) is the leading cause of dementia and represents a progressive, irreversible neurodegenerative disorder. Given the complexity and heterogeneity of AD, which involves numerous interrelated molecular pathways, large-scale proteomics datasets are essential for robust biomarker discovery. Comprehensive proteomic profiling enables the unbiased identification of novel biomarkers across diverse biological processes, thereby increasing the likelihood of finding sensitive and specific candidates for early diagnosis and therapeutic targeting. In this study, we analyzed 28 large-scale proteomics datasets obtained from the AD Knowledge Portal and published studies. The data comprise tandem mass tag, label-free quantification, and proximity extension assay measurements from brain tissue and cerebrospinal fluid. To enhance analytical power, we integrated these proteomic profiles with corresponding clinical information to construct comprehensive feature sets for subsequent machine learning analysis. Using Random Forest and Logistic Regression models, we identified a panel of proteins capable of distinguishing AD patients from healthy controls. Several of these biomarkers have been previously validated in the context of AD, while others represent novel candidates not yet reported as AD-associated. These newly identified biomarkers warrant further experimental validation and hold promise for improving early diagnosis as well as guiding the development of targeted therapies for AD."
